#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
1360.985634,235,74.909225
1420.246241,211,74.999742
1400.058395,253,75.102033
-92.777613,52,75.127161
37.481508,113,75.181842
-8.926934,83,76.151697
184.269828,176,76.22273
1431.668554,227,76.319613
1531.881503,193,76.400179
1289.086889,252,76.541222
-111.286345,60,77.49731
36.340062,178,77.568969
-22.350252,115,77.61769
77.613555,102,77.658943
128.493715,100,77.699511
-35.297218,60,78.704941
69.248379,136,78.760856
-93.977869,60,78.791433
-59.761289,54,78.81594
1439.050085,210,78.903837
1558.124851,750,80.234504
1646.310806,750,80.547797
1518.936103,750,80.898026
1649.437741,750,81.217026
1683.380823,750,81.636998
510.206026,242,82.636505
75.773345,133,82.690387
1460.773917,223,82.824629
1511.952859,237,82.966596
-18.69179,163,83.036011
329.351417,750,84.269862
1466.250041,253,84.372874
347.667423,750,84.675743
91.917601,104,84.717308
375.289924,186,84.86011
169.123531,133,85.917159
-59.745878,75,85.947458
166.173817,125,86.01559
1494.691048,199,86.098314
1414.21772,255,86.201101
1571.163066,313,87.296653
1448.721838,232,87.391441
72.982928,90,87.427586
185.189572,115,87.47393
1538.401766,207,87.556958
98.731845,167,88.593045
408.997706,236,88.689913
1456.148976,206,88.774534
1457.325812,246,88.877655
-76.313323,62,88.904042
319.591359,204,89.955398
70.840723,143,90.01302
1518.018453,294,90.134748
1485.452519,216,90.223525
1544.336729,247,90.361432
1483.677473,272,91.473609
148.747818,133,91.527433
15.435638,97,91.573705
443.732903,221,91.748574
8.206234,96,91.820699
1493.219898,190,92.83801
1473.393318,219,92.929069
1368.427173,240,93.031597
-21.450089,63,93.072692
1520.231719,207,93.197342
1441.195543,224,94.290937
-98.001795,46,94.309685
1404.36413,201,94.390881
165.353403,188,94.475809
1508.678267,258,94.58209
1502.124929,211,95.609807
1559.338658,187,95.685359
123.091759,148,95.746476
1491.408968,250,95.859101
223.052731,251,96.004047
1521.650528,202,97.046939
1373.069687,233,97.158742
1483.723777,231,97.253839
1611.094392,191,97.333712
210.19566,116,97.383749
1547.50634,217,98.462329
267.786479,189,98.539319
1333.948571,231,98.634474
-66.613379,56,98.657144
1446.568435,231,98.751957
81.259592,115,99.814157
280.480194,202,99.896485
1427.822864,242,100.002998
1376.092731,212,100.09583
1358.794134,255,100.199751
-14.989288,65,101.149784
-53.492198,63,101.17544
1420.424115,222,101.267011
1374.938596,230,101.361498
115.230614,190,101.474504
291.199159,167,102.643339
-78.466533,48,102.665719
-14.849744,76,102.699533
363.914815,204,102.782432
379.100956,219,102.871827
434.149325,750,104.154223
282.496203,750,104.510953
239.416527,750,104.832084
483.609508,750,105.156332
305.212701,750,105.467499
194.773516,750,106.719178
337.285475,750,107.062763
427.829727,750,107.412389
340.396685,750,107.754445
339.383217,750,108.112437
1505.609943,213,109.144652
1240.460678,243,109.248944
278.408897,230,109.346899
152.90654,216,109.485605
1586.898965,233,109.588121
1620.263093,252,110.643023
1435.790482,205,110.727606
-65.865307,58,110.751345
1415.607912,227,110.844311
119.568532,125,110.898014
-4.341813,75,111.858172
200.795114,184,111.933059
1632.561782,192,112.013636
-44.660942,84,112.06086
1507.351581,221,112.213694
1596.553686,283,113.382372
57.286199,113,113.431176
-66.955881,65,113.459982
3.906681,79,113.519056
1489.650759,224,113.628374
1511.726225,213,114.66879
-120.891038,44,114.686775
1439.449312,188,114.764619
103.538333,171,114.833752
-103.177157,66,114.860376
22.251438,90,115.799833
1443.763714,260,115.906211
-80.800248,55,115.928441
-79.195351,53,115.950054
-97.380667,51,115.98037
1501.328077,218,117.019135
1556.850255,231,117.114773
1366.68415,242,117.225848
514.369506,273,117.342975
1514.542435,261,117.451618
1455.86909,750,118.819384
1209.810727,750,119.172209
1229.402199,750,119.524633
1204.473309,750,119.853325
1320.286471,750,120.171179
1598.525231,206,121.210575
1445.223448,220,121.315502
1437.110182,197,121.408452
291.062484,750,121.741651
135.680125,112,121.787171
22.633567,93,122.885851
80.037499,132,122.93911
1436.724609,226,123.0326
1596.294153,262,123.141865
198.481066,159,123.208042
1377.53398,245,124.392496
-81.098121,52,124.419307
174.805466,170,124.494849
261.804216,220,124.606332
4.955831,138,124.668825
1490.724379,205,125.695768
1483.970837,218,125.786746
1415.110058,273,125.897153
433.829329,172,125.974799
81.287965,134,126.036438
1394.411024,240,127.07768
220.719512,238,127.1908
1476.842463,219,127.282023
444.050057,175,127.355549
79.215656,107,127.399813
1363.639743,274,128.423272
1468.903929,245,128.528154
1479.866291,213,128.614957
307.991792,142,128.673671
114.362829,144,128.731772
-30.741597,72,129.926635
233.607896,206,130.02689
163.832666,179,130.103347
-2.096513,119,130.152734
